id,question,slug,start_date,end_date,volume,liquidity,active,closed,yes_percentage,no_percentage,outcome_details,total_volume,total_liquidity,end_date_iso,volume_24hr,spread,one_day_price_change,last_trade_price,bestBid,bestAsk
239148,Who will win UFC 268: Gaethje vs Chandler?,who-will-win-ufc-268-gaethje-vs-chandler,,,,,True,True,,,Gaethje: 100.00% | Chandler: 0.00%,4570.72,459.36,2021-11-06,0,1,0,0,0,1
239184,Will the floor price of CryptoPunks be above 100 ETH on November 15?,will-the-floor-price-of-cryptopunks-be-above-100-eth-on-november-15,,,,,True,True,1.8723678947069762e-05,99.99998127632105,Yes: 0.00% | No: 100.00%,20213.16,157.78,2021-11-15,0,1,0,0,0,1
239213,"Will there be 850,000 or more total ETH burned before November 10th, 2021?",will-there-be-850000-or-more-total-eth-burned-before-november-10th-2021,,,,,True,True,1.5726771816678106e-05,99.99998427322818,Yes: 0.00% | No: 100.00%,6055.67,159.38,2021-11-10,0,1,0,0,0,1
239217,Will Ethereum reach $5000 by November 17th?,will-ethereum-reach-5000-by-november-17th,,,,,True,True,3.970572874997675e-06,99.99999602942712,Yes: 0.00% | No: 100.00%,188828.02,77.64,2021-11-17,0,1,0,0,0,1
239311,Will the floor price of CryptoPunks be above 85 ETH on November 15?,will-the-floor-price-of-cryptopunks-be-above-85-eth-on-november-15,,,,,True,True,99.99998912386589,1.0876134111814279e-05,Yes: 100.00% | No: 0.00%,15843.47,100,2021-11-15,0,1,0,0,0,1
239315,Will $ENS (Ethereum Name Service) be above $40 on November 15?,will-ens-ethereum-name-service-be-above-40-on-november-15,,,,,True,True,99.99998540630158,1.4593698422876183e-05,Yes: 100.00% | No: 0.00%,27904.34,474.74,2021-11-15,0,1,0,0,0,1
239327,"Will $ETH (Ethereum) be above $4,750 on November 12th, 12pm ET?",will-eth-ethereum-be-above-4750-on-november-12th-12pm-et,,,,,True,True,2.3062669220570616e-05,99.99997693733079,Yes: 0.00% | No: 100.00%,9092.42,183.12,2021-11-12,0,1,0,0,0,1
239354,Will Ethereum Name Service ($ENS) be listed for trading on Coinbase by November 18th?,will-ethereum-name-service-ens-be-listed-for-trading-on-coinbase-by-november-18th,,,,,True,True,99.99987677172179,0.0001232282782158351,Yes: 100.00% | No: 0.00%,66724.58,2.45,2021-11-18,0,1,0,0,0,1
239373,"What will the price of Ethereum Name Service ($ENS) be at noon on November 16, 2021?",what-will-the-price-of-ethereum-name-service-ens-be-at-noon-on-november-16-2021-1,,,,,True,True,,,Long: 41.28% | Short: 58.72%,3773.64,0,2021-11-16,0,1,0,0,0,1
239401,Will the floor price of CryptoPunks be above 75 ETH on November 30?,will-the-floor-price-of-cryptopunks-be-above-75-eth-on-november-30,,,,,True,True,99.99999590163826,4.098361742156378e-06,Yes: 100.00% | No: 0.00%,4403.51,83.84,2021-11-30,0,1,0,0,0,1
